# Stable key<TAB>Russian translation
adaptive_gable.name	BuildWorks: адаптивная фронтонная панель
editor.view.contour_info	ИСТОЧНИК: {0}\nОПОРА: {1}\nКОПИЙ: {2}\n\nЛКМ по опоре — выбрать цепь.\nEnter: применить · Esc: отмена.
editor.view.copies_enter_esc	Копий: {0} · Enter / Esc
editor.view.copy_suffix	 + {0} копий
editor.view.delete	УДАЛИТЬ
editor.view.discard_exit	ВЫЙТИ БЕЗ СОХРАНЕНИЯ
editor.view.duplicate	ДУБЛИРОВАТЬ
editor.view.empty_group	Пустая группа
editor.view.exact_step	ТОЧНЫЙ ШАГ
editor.view.exit	ВЫЙТИ
editor.view.frame_all	ВСЁ В КАДР
editor.view.frame_blueprint	ПОКАЗАТЬ ВЕСЬ ЧЕРТЁЖ
editor.view.frame_selected	ВЫДЕЛЕННОЕ
editor.view.free_rotation_tooltip	Свободное вращение выбранной точки вокруг опоры.
editor.view.free_short	СВОБ.
editor.view.gizmo_size	РАЗМЕР МАНИПУЛЯТОРОВ · %
editor.view.grid_tooltip	Показать / скрыть сетку
editor.view.group	СГРУППИРОВАТЬ
editor.view.group_info	Группа · {0} деталей\n◇ Опора: {1}\nEye/Lock наследуются дочерними деталями.
editor.view.group_pivot	ОПОРА ГРУППЫ: {0}
editor.view.group_root	ГРУППА: ROOT
editor.view.group_selection	Сгруппировать выбранное (Ctrl+G)
editor.view.group_short	ГР
editor.view.group_two_objects	Для группы выбери минимум два соседних объекта
editor.view.group_value	ГРУППА: {0}
editor.view.hidden	СКРЫТ
editor.view.hide_object	Скрыть объект
editor.view.hide_selected	СКРЫТЬ ВЫБРАННОЕ
editor.view.in_row	В РЯДУ
editor.view.interface_scale	ИНТЕРФЕЙС: {0}%
editor.view.invalid_array_values	Проверь числа: количество 1–128, шаг масштаба от −300% до 300%.
editor.view.invalid_metadata	Имя: 1–48 символов, категория: 1–24.
editor.view.invalid_red_field	Красное поле содержит некорректное значение.
editor.view.invalid_scale_step	Шаг масштаба: от −99% до 300%; 0 или не меньше 1% по модулю.
editor.view.invalid_steps	Шаг: 0,001–10 м; угол: 0,1–90°.
editor.view.light	СВЕТ
editor.view.light_neutral	НЕЙТР.
editor.view.light_outline	КОНТУР
editor.view.light_warm	ТЁПЛЫЙ
editor.view.lock	БЛОКИРОВКА
editor.view.lock_object	Заблокировать объект
editor.view.lock_selected	ЗАБЛОКИРОВАТЬ
editor.view.lock_unlock	БЛОК / РАЗБЛОК
editor.view.locked	ЗАМОК
editor.view.magnet_game	МАГНИТ: ИГРА
editor.view.magnet_mesh	МАГНИТ: МЕШ
editor.view.material	МАТЕРИАЛ
editor.view.materials_down	МАТЕРИАЛЫ ↓
editor.view.materials_up	↑ МАТЕРИАЛЫ
editor.view.missing	НЕТ
editor.view.mixed	СМЕШАННАЯ
editor.view.move_arrows	Стрелки
editor.view.move_step_short	Δм
editor.view.move_step_tooltip	Шаг перемещения в метрах. Клик — ввод, тяни — изменить, Shift — точно, Ctrl — крупно.
editor.view.move_step_value	ШАГ М: {0}
editor.view.move_to_root	ПЕРЕНЕСИ В КОРЕНЬ
editor.view.multi_selection_info	{0} объектов\nКоманды ниже применяются ко всему выбору одной операцией Undo.
editor.view.name	ИМЯ
editor.view.name_short	ИМЯ
editor.view.new_group_short	+ГР
editor.view.no_geometry	нет геометрии
editor.view.non_uniform_scale	неравномерный (из чертежа)
editor.view.not_selected	не выбрана
editor.view.nothing_selected	Ничего не выбрано
editor.view.numeric_axis_tooltip	{0} · {1}. Клик — ввод, горизонтальное перетягивание — изменение.
editor.view.object_count	{0} объектов
editor.view.object_properties	СВОЙСТВА ОБЪЕКТА
editor.view.objects	ОБЪЕКТЫ
editor.view.offset_delta_m	СМЕЩЕНИЕ Δ · М
editor.view.operation_metrics	Выбрано: {0}    Δ {1} / {2} / {3} м    Поворот {4} / {5} / {6}°    Масштаб {7}%    {8}/128{9}
editor.view.outliner	ДЕРЕВО ОБЪЕКТОВ
editor.view.outliner_commands	Команды дерева объектов
editor.view.pack	УПАКОВАТЬ
editor.view.page_help	Страница · Q / E · колесо над деталями · PgUp / PgDn
editor.view.part	ДЕТАЛЬ
editor.view.part_info	Prefab: {0}\nМасштаб: {1}\nГруппа: {2}{3}
editor.view.part_properties	СВОЙСТВА ДЕТАЛИ
editor.view.part_type	ТИП ДЕТАЛИ
editor.view.parts	ДЕТАЛИ
editor.view.parts_delta	{0} деталей · DELTA
editor.view.pin	ЗАКРЕПИТЬ
editor.view.pin_anchor_tooltip	Закрепить выбранную точку для вращения вокруг неё. Shift + ЛКМ по точке делает то же самое.
editor.view.pitch_deg	НАКЛОН · °
editor.view.points	Точки
editor.view.points_all	ТОЧКИ: ВСЕ
editor.view.points_nearby	ТОЧКИ: РЯДОМ
editor.view.position_m	ПОЛОЖЕНИЕ · М
editor.view.projection_tooltip	Перспектива / ортографический вид
editor.view.properties	СВОЙСТВА
editor.view.redo_tooltip	Повторить (Ctrl+Y)
editor.view.remove_blueprint_frame	УБРАТЬ ОПОРУ ЧЕРТЕЖА
editor.view.remove_group_pivot	УБРАТЬ ОПОРУ: {0}
editor.view.remove_old_frame	УБРАТЬ СТАРУЮ ОПОРУ
editor.view.rename	ПЕРЕИМЕНОВАТЬ
editor.view.rename_one_object	Для имени выбери один объект
editor.view.rename_selection	Переименовать выбранный объект
editor.view.reparent_selection	Перенести выбранное в группу
editor.view.reparent_short	→ГР
editor.view.reset	СБРОСИТЬ
editor.view.reset_settings	СБРОСИТЬ НАСТРОЙКИ
editor.view.retry	ПОВТОРИТЬ
editor.view.return	ВЕРНУТЬСЯ
editor.view.ring_parts	кольцо · {0} деталей
editor.view.rise_m	ПОДЪЁМ · М
editor.view.roll_deg	КРЕН · °
editor.view.root_drop_tooltip	Перетащи выбранные объекты сюда, чтобы вынести их из группы в корень.
editor.view.rotation_deg	ПОВОРОТ · °
editor.view.rotation_delta_deg	ПОВОРОТ Δ · °
editor.view.rotation_rings	Кольца вращения
editor.view.rows	РЯДОВ
editor.view.save	СОХРАНИТЬ
editor.view.save_exit	СОХРАНИТЬ И ВЫЙТИ
editor.view.saved_blueprints	СОХРАНЁННЫЕ ЧЕРТЕЖИ
editor.view.scale_handle	Ручка масштаба
editor.view.scale_step	ШАГ МАСШТАБА · %
editor.view.scale_step_label	Шаг масштаба · %
editor.view.scale_step_repeat_tooltip	Равномерное изменение масштаба на каждый повтор, в процентах.
editor.view.scale_step_tooltip	Шаг равномерного масштаба в процентных пунктах. Shift — без шага. ПКМ — 10%.
editor.view.search	ПОИСК…
editor.view.select	ВЫБРАТЬ
editor.view.select_first	Сначала выбери деталь или группу
editor.view.select_in_viewport	Ничего не выбрано\n\nВыбери деталь во viewport или дереве объектов.
editor.view.select_object_or_group	Сначала выбери объект или группу
editor.view.selection	ВЫБОР
editor.view.selection_help	ВЫБОР ОБЪЕКТА\n\nЛКМ — выбрать деталь\nShift / Ctrl + ЛКМ — добавить или убрать\nShift в дереве — диапазон строк\nCtrl+A — всё доступное\nТяни по пустоте — рамка выбора\n\nКАМЕРА\nСКМ — вращать вид\nShift + СКМ — двигать вид\nПКМ + WASD — полёт\nКолесо — приблизить / отдалить\n\nEsc — отмена инструмента / снять выбор\nВыбрано: {0}
editor.view.selection_locked_hidden	Выбор скрыт или заблокирован. Разблокируй его во вкладке ДЕТАЛЬ.
editor.view.selection_scale	МАСШТАБ ВЫБОРА · %
editor.view.selection_unavailable	Выбранные детали скрыты или заблокированы
editor.view.settings	НАСТРОЙКИ
editor.view.settings_tooltip	Сетка, проекция, кадрирование и размеры манипуляторов
editor.view.show_all	ПОКАЗАТЬ ВСЁ
editor.view.show_hide	ПОКАЗАТЬ / СКРЫТЬ
editor.view.show_object	Показать объект
editor.view.show_selected	ПОКАЗАТЬ ВЫБРАННОЕ
editor.view.source	ИСТОЧНИК
editor.view.step_percent	ШАГ, %
editor.view.symmetry	СИММЕТРИЯ
editor.view.title	BUILDWORKS · ЧЕРТЁЖ
editor.view.to_group	В ГРУППУ: {0}
editor.view.to_root	В ROOT
editor.view.toggle_lock	Заблокировать или разблокировать выбранное
editor.view.toggle_visibility	Показать или скрыть выбранное
editor.view.tool_array	Массив (A)\nПовторить выбранное по двум направлениям
editor.view.tool_contour	Контур (C)\nПовторить выбранное по цепи штатных snap points
editor.view.tool_parameters	ПАРАМЕТРЫ ИНСТРУМЕНТА
editor.view.tool_select	Выбор (Q)\nShift + ЛКМ — добавить/убрать\nCtrl+A — выбрать всё доступное
editor.view.tool_transform	Трансформация (G/F9)\nСтрелки — сдвиг, кольца — вращение\nAlt + тяни стрелку — копия\nОтдельный квадрат — общий масштаб
editor.view.transform_short	ТРАНСФ.
editor.view.turn_deg	ПОВОРОТ · °
editor.view.type	ТИП
editor.view.undo_tooltip	Отменить (Ctrl+Z)
editor.view.ungroup	РАЗГРУППИРОВАТЬ
editor.view.ungroup_selection	Разгруппировать выбранную группу
editor.view.ungroup_short	−ГР
editor.view.uniform_scale	РАВНОМЕРНЫЙ МАСШТАБ · %
editor.view.unlock	РАЗБЛОКИРОВАТЬ
editor.view.unlock_object	Разблокировать объект
editor.view.unpin	ОТКРЕПИТЬ
editor.view.unsaved_changes	Есть несохранённые изменения
editor.view.unsaved_message	Сохранить изменения в «{0}» перед выходом?
editor.view.unsaved_title	НЕСОХРАНЁННЫЕ ИЗМЕНЕНИЯ
editor.view.viewport_help	F9/G трансформация  •  точки — match  •  СКМ orbit  •  Shift+СКМ pan  •  колесо zoom
editor.view.viewport_settings	НАСТРОЙКИ ВИДА
editor.view.visibility	ВИДИМОСТЬ
