# Stable key<TAB>English fallback
adaptive_gable.name	BuildWorks: adaptive gable panel
editor.view.scale_handle	Scale handle
editor.view.scale_step	SCALE STEP · %
editor.view.scale_step_label	Scale step · %
editor.view.scale_step_repeat_tooltip	Uniform scale change on every repeat, in percent.
editor.view.scale_step_tooltip	Uniform scale step in percentage points. Shift disables the step. RMB resets to 10%.
editor.view.search	SEARCH…
editor.view.select	SELECT
editor.view.select_first	Select a part or group first
editor.view.select_in_viewport	Nothing selected\n\nSelect a part in the viewport or object tree.
editor.view.select_object_or_group	Select an object or group first
editor.view.selection	SELECTION
editor.view.selection_help	OBJECT SELECTION\n\nLMB — select part\nShift / Ctrl + LMB — add or remove\nShift in tree — row range\nCtrl+A — all available\nDrag empty space — marquee selection\n\nCAMERA\nMMB — orbit\nShift + MMB — pan\nRMB + WASD — fly\nWheel — zoom\n\nEsc — cancel tool / clear selection\nSelected: {0}
editor.view.selection_locked_hidden	Selection is hidden or locked. Unlock it on the PART tab.
editor.view.selection_scale	SELECTION SCALE · %
editor.view.selection_unavailable	Selected parts are hidden or locked
editor.view.settings	SETTINGS
editor.view.settings_tooltip	Grid, projection, framing and gizmo sizes
editor.view.show_all	SHOW ALL
editor.view.show_hide	SHOW / HIDE
editor.view.show_object	Show object
editor.view.show_selected	SHOW SELECTED
editor.view.source	SOURCE
editor.view.step_percent	STEP, %
editor.view.symmetry	SYMMETRY
editor.view.title	BUILDWORKS · BLUEPRINT
editor.view.to_group	TO GROUP: {0}
editor.view.to_root	TO ROOT
editor.view.toggle_lock	Lock or unlock selection
editor.view.toggle_visibility	Show or hide selection
editor.view.tool_array	Array (A)\nRepeat the selection in two directions
editor.view.tool_contour	Contour (C)\nRepeat the selection along native snap-point chains
editor.view.tool_parameters	TOOL PARAMETERS
editor.view.tool_select	Select (Q)\nShift + LMB — add/remove\nCtrl+A — select all available
editor.view.tool_transform	Transform (G/F9)\nArrows — move, rings — rotate\nAlt + drag arrow — duplicate\nSeparate square — uniform scale
editor.view.transform_short	TRANSFORM
editor.view.turn_deg	TURN · °
editor.view.type	TYPE
editor.view.undo_tooltip	Undo (Ctrl+Z)
editor.view.ungroup	UNGROUP
editor.view.ungroup_selection	Ungroup selected group
editor.view.ungroup_short	−GR
editor.view.uniform_scale	UNIFORM SCALE · %
editor.view.unlock	UNLOCK
editor.view.unlock_object	Unlock object
editor.view.unpin	UNPIN
editor.view.unsaved_changes	There are unsaved changes
editor.view.unsaved_message	Save changes to “{0}” before exiting?
editor.view.unsaved_title	UNSAVED CHANGES
editor.view.viewport_help	F9/G transform  •  points — match  •  MMB orbit  •  Shift+MMB pan  •  wheel zoom
editor.view.viewport_settings	VIEW SETTINGS
editor.view.visibility	VISIBILITY
